"from","to","weight"
"CCNB2","GADD45G",921
"CCNB2","SERPINA1",460
"CCNB2","ACTA2",429
"CCNB2","GADD45A",939
"APPL1","ABCC8",464
"APPL1","KCNJ11",435
"C9ORF43","ACTA2",461
"DPYSL5","GABBR1",459
"SMAD6","FN1",402
"ACTR1B","ACTG2",668
"ACTR1B","TUBA1C",416
"ACTR1B","ACTA2",668
"H2BC5","THBS1",440
"CATIP","COL6A3",461
"CD1A","FN1",490
"CD1A","FCGR2A",439
"CD1A","CD44",602
"CD1A","ICAM1",523
"CD1A","FCGR2B",442
"NCF1","ICAM1",484
"NCF1","MSN",705
"NCF1","CCL2",485
"NCF1","MMP9",950
"NCF1","FCGR2B",410
"NCF1","HMOX1",532
"PKD1L1","PLAT",608
"CDH15","MMP9",487
"HTR6","NPPA",904
"FCER1G","MRC2",413
"FCER1G","FCGR2B",844
"FCER1G","MMP9",411
"FCER1G","CCL2",609
"FCER1G","FCGR2A",907
"FCER1G","HK3",458
"FCER1G","COL1A1",406
"WNT9B","WNT7B",582
"CACHD1","CACNA1A",757
"KPNB1","FN1",407
"KPNB1","ACTA2",427
"WNT4","CD44",557
"WNT4","WNT7B",790
"IL10RB","SOCS3",458
"ELMO2","GRIN1",430
"ELMO2","FCGR2A",503
"STC1","CCK",667
"ATP5PO","ATP6V1G2",561
"IGF2BP1","CD44",537
"ACTC1","COL1A1",414
"ACTC1","FLNC",585
"ACTC1","ACTG2",939
"ACTC1","MYL9",494
"ACTC1","ACTN1",450
"ACTC1","ACTA2",960
"ACTC1","NPPA",557
"ACTC1","MMP9",421
"NPTN","GABRA3",499
"NPTN","GABRB3",534
"RFX5","COL1A2",467
"PSMB4","IGFBP3",405
"BTG2","GADD45G",433
"BTG2","HES6",523
"BTG2","GADD45A",714
"BTG2","SOCS3",519
"BTG2","CCL2",487
"HK2","HK3",974
"HK2","ALDOC",881
"HK2","CCK",403
"CELF3","GRIN1",417
"CELF3","CPLX2",415
"AMFR","VIM",408
"UBR1","CCK",491
"ACE","HMOX1",447
"ACE","SERPINE1",710
"ACE","SERPINA1",606
"ACE","NPPA",836
"ACE","TIMP1",462
"ACE","MMP9",733
"ACE","SPP1",436
"ACE","F3",641
"ACE","CCL2",625
"ACE","PLAT",676
"ACE","FN1",484
"ACE","SERPING1",634
"ACE","CFI",493
"ACE","ICAM1",581
"ACE","ITGA5",450
"CTBP1","FCGR2B",407
"CTBP1","FCGR2A",407
"ATP6V0D1","ATP6V1G2",980
"ATP6V0D1","SNAP25",436
"AGRP","CCK",734
"AGRP","SOCS3",653
"AGRP","KCNJ11",479
"CALM3","CD44",623
"CALM3","CACNA1A",977
"CALM3","FLNC",617
"CALM3","ICAM1",405
"CALM3","MSN",598
"CALM3","FN1",659
"CALM3","SNAP25",687
"CALM3","GABRB3",411
"CALM3","GRIA2",434
"CALM3","ABCC8",592
"CALM3","NPPA",519
"CALM3","GRIN1",996
"RSPH1","ACTA2",435
"RSPH1","PDLIM4",406
"PKNOX1","CCL2",422
"CSTB","FN1",476
"S100B","VIM",458
"S100B","CD44",418
"S100B","CCL2",476
"S100B","SNAP25",401
"S100B","COL6A2",447
"S100B","MMP9",480
"FCN2","C1R",827
"FCN2","PLAU",576
"FCN2","PLAUR",560
"FCN2","FN1",563
"FCN2","SERPING1",671
"FCN2","F3",637
"FCN2","CFI",663
"LILRA4","FCGR2A",630
"NCR1","FN1",474
"NCR1","CCL2",401
"NCR1","FCGR2A",510
"NCR1","FCGR2B",530
"NCR1","CD44",677
"FXYD2","ATP1A3",996
"FXYD2","ABCC8",576
"FXYD2","SERPINA1",430
"TMEM199","ATP6V1G2",822
"S100A1","ABCC8",427
"CXCR5","FCGR2A",460
"CXCR5","CCL2",872
"CXCR5","ICAM1",631
"CXCR5","FCGR2B",501
"CXCR5","FLNC",410
"CXCR5","CD44",745
"ANO10","CACNA1A",440
"CCR5","FCGR2B",716
"CCR5","MMP9",587
"CCR5","MSR1",408
"CCR5","CD44",704
"CCR5","ICAM1",629
"CCR5","FN1",620
"CCR5","CCL2",999
"CCR5","FCGR2A",682
"GPC2","HSPG2",658
"GPC2","BGN",572
"AZGP1","FN1",522
"AZGP1","BGN",547
"AZGP1","CFI",540
"AZGP1","SERPINA1",674
"FGFR4","FN1",414
"FGFR4","PLAU",424
"CYP11B1","ATP1A3",547
"NACC1","GADD45G",424
"HK3","SLC2A3",426
"HK3","ALDOA",858
"HK3","CYBB",431
"HK3","GAA",915
"HK3","CS",464
"HK3","PFKFB1",738
"HK3","BAX",901
"HK3","SI",915
"HK3","APOBR",424
"HK3","AKR1B10",819
"HK3","AQP9",498
"HK3","KHK",917
"HK3","NAGK",407
"HK3","RETN",413
"HK3","S100A8",439
"HK3","IFT56",428
"HK3","S100A12",524
"HK3","ENO1",410
"HK3","FCN1",493
"HK3","PGM2",936
"HK3","PKM",620
"HK3","GALM",926
"HK3","PGK1",466
"HK3","MGAM",927
"HK3","ALDOC",860
"HK3","CLEC12A",438
"HK3","DERA",800
"HK3","PFKFB4",747
"HK3","MNDA",780
"HK3","",919
"HK3","TLR8",762
"HK3","MGAM2",916
"HK3","TIGAR",760
"HK3","PGAM2",433
"HK3","GPR84",429
"HK3","PGK2",505
"HK3","GCKR",519
"HK3","PYGM",419
"HK3","G6PC3",950
"HK3","PFKFB2",806
"HK3","PGM3",448
"HK3","BPGM",445
"HK3","TMEM150B",418
"HK3","PGD",477
"HK3","MS4A14",447
"HK3","VDAC1",887
"HK3","LILRA1",502
"HK3","GPI",978
"HK3","AMY1C",402
"HK3","CD300LF",535
"HK3","TALDO1",858
"HK3","SIGLEC7",513
"HK3","TYROBP",730
"HK3","SLC2A1",424
"HK3","ADPGK",930
"HK3","RNASE2",418
"HK3","PFKM",956
"HK3","G6PC1",949
"HK3","MDH2",474
"HK3","TKT",864
"HK3","H6PD",933
"HK3","HK1",978
"HK3","SPI1",558
"HK3","LILRB3",418
"HK3","TREH",632
"HK3","GLUD2",401
"HK3","PFKFB3",825
"HK3","GLB1",900
"HK3","PFKP",954
"HK3","FCER1G",458
"HK3","FBP1",946
"HK3","PRAM1",442
"HK3","TPI1",462
"HK3","HK2",974
"HK3","CD300LB",524
"HK3","ITGAM",488
"HK3","UGP2",446
"HK3","NFAM1",418
"HK3","CEACAM4",438
"HK3","MCEMP1",478
"HK3","AMY1A",412
"HK3","TKTL1",857
"HK3","S100A9",477
"HK3","GYS1",410
"HK3","SORD",920
"HK3","G6PD",939
"HK3","FCSK",801
"HK3","GNPDA1",935
"HK3","GFPT1",920
"HK3","GAPDHS",423
"HK3","FBP2",932
"HK3","PGM1",477
"HK3","CD300C",489
"HK3","PMM1",928
"HK3","LILRB2",481
"HK3","PFKL",959
"HK3","GYS2",412
"HK3","HKDC1",961
"HK3","SYCP2L",479
"HK3","GANC",900
"HK3","AKR1B1",830
"HK3","G6PC2",943
"HK3","PKLR",582
"HK3","TREM1",403
"HK3","LCT",903
"HK3","GNPNAT1",932
"HK3","PMM2",931
"HK3","MPI",940
"HK3","AMY1B",450
"HK3","AMY2B",413
"HK3","VDAC2",405
"HK3","GCK",916
"HK3","HCK",657
"HK3","PYGL",466
"HK3","ALDOB",871
"HK3","GFPT2",922
"HK3","SIGLEC9",511
"HK3","GNPDA2",932
"HK3","OSCAR",460
"HK3","FGR",561
"HK3","LDHAL6A",403
"HK3","GLYCTK",816
"HK3","TKTL2",844
"HK3","SLC2A4",426
"PTGER1","HRH3",533
"MAML1","ACTA2",532
"MAML1","HES5",795
"PGLYRP2","CFI",505
"PCYT1A","VIM",461
"GRIN2C","GRIN1",999
"GRIN2C","SLC1A6",439
"GRIN2C","GRIA4",824
"GRIN2C","GABRD",502
"GRIN2C","GRIA2",822
"GRIN2C","GRIK2",714
"ACOX1","CCK",403
"CYGB","F3",594
"BAX","HMOX1",729
"BAX","CCK",480
"BAX","MMP9",448
"BAX","HK3",901
"STAT5B","CD44",516
"STAT5B","CCL2",456
"STAT5B","SOCS3",900
"STAT5B","MMP9",418
"STAT5B","IGFBP3",594
"HCRT","CCK",849
"HCRT","HRH3",528
"ITGA5","COL9A1",674
"ITGA5","SNX9",415
"ITGA5","ZYX",522
"ITGA5","ENG",801
"ITGA5","ITGA10",922
"ITGA5","PARVA",735
"ITGA5","IBSP",727
"ITGA5","CEACAM1",468
"ITGA5","VTN",976
"ITGA5","LAMC2",864
"ITGA5","F11R",491
"ITGA5","ITGAV",946
"ITGA5","PLAUR",506
"ITGA5","MMP9",632
"ITGA5","CXCL12",726
"ITGA5","TIMP1",519
"ITGA5","PLAU",781
"ITGA5","GNG4",522
"ITGA5","TNR",686
"ITGA5","FZD7",414
"ITGA5","PARVB",707
"ITGA5","AKT1",530
"ITGA5","GNB3",509
"ITGA5","CD2",420
"ITGA5","FBN1",775
"ITGA5","TFRC",564
"ITGA5","EGFR",792
"ITGA5","TGM2",490
"ITGA5","ITGB3",999
"ITGA5","RHOA",524
"ITGA5","GNG13",499
"ITGA5","GNGT1",499
"ITGA5","ITGA2",962
"ITGA5","CD34",731
"ITGA5","COL9A2",682
"ITGA5","TWIST1",420
"ITGA5","CD63",442
"ITGA5","ANGPT2",636
"ITGA5","EMILIN1",581
"ITGA5","COL6A2",892
"ITGA5","MAPK3",417
"ITGA5","LUM",528
"ITGA5","LAMA5",778
"ITGA5","CRK",728
"ITGA5","CCND1",580
"ITGA5","RAB25",650
"ITGA5","CD151",780
"ITGA5","ITGB1",999
"ITGA5","RDX",513
"ITGA5","NRP1",455
"ITGA5","ITGB6",961
"ITGA5","LAMP1",514
"ITGA5","ITGA7",657
"ITGA5","ACTG1",716
"ITGA5","IGBP1",494
"ITGA5","FLNB",737
"ITGA5","CRKL",709
"ITGA5","MCAM",639
"ITGA5","ALB",417
"ITGA5","CD300LF",403
"ITGA5","LAMB2",793
"ITGA5","TM4SF5",639
"ITGA5","RAB27A",432
"ITGA5","VWF",755
"ITGA5","VCAM1",828
"ITGA5","SCARB1",466
"ITGA5","CEACAM6",494
"ITGA5","FLT4",591
"ITGA5","ITGA11",949
"ITGA5","LOX",405
"ITGA5","ACE2",788
"ITGA5","SERPINE1",564
"ITGA5","DPP4",578
"ITGA5","COL4A3",720
"ITGA5","LAMA2",783
"ITGA5","ITGAL",953
"ITGA5","ITGAD",595
"ITGA5","CTNNB1",454
"ITGA5","SHARPIN",622
"ITGA5","FGF2",409
"ITGA5","CD47",560
"ITGA5","COL6A3",870
"ITGA5","COL6A6",726
"ITGA5","THBS2",781
"ITGA5","ACTN4",922
"ITGA5","TNC",717
"ITGA5","ITGB4",953
"ITGA5","LAMA4",888
"ITGA5","BMPR2",444
"ITGA5","MMP14",448
"ITGA5","GNG8",499
"ITGA5","COL4A6",801
"ITGA5","FBN2",587
"ITGA5","COL9A3",683
"ITGA5","COL4A1",882
"ITGA5","TGFBR2",426
"ITGA5","CDH5",651
"ITGA5","GNG11",607
"ITGA5","RHOH",407
"ITGA5","COL5A1",530
"ITGA5","COL5A2",415
"ITGA5","GNB1",519
"ITGA5","E2F5",417
"ITGA5","GNG3",504
"ITGA5","GNG5",500
"ITGA5","ICAM3",514
"ITGA5","TGFBR1",579
"ITGA5","LAMB3",855
"ITGA5","KIT",408
"ITGA5","NISCH",805
"ITGA5","SCRIB",685
"ITGA5","AKT1S1",420
"ITGA5","TGFB1I1",512
"ITGA5","CD36",473
"ITGA5","ITGB7",988
"ITGA5","MMP2",481
"ITGA5","LAMC1",865
"ITGA5","PTPRC",532
"ITGA5","JAM3",656
"ITGA5","LYN",483
"ITGA5","ICAM2",543
"ITGA5","FBN3",529
"ITGA5","CDH11",409
"ITGA5","LGALS8",452
"ITGA5","ITGAX",777
"ITGA5","S100A8",555
"ITGA5","FGFR2",603
"ITGA5","ACE",450
"ITGA5","ARHGAP5",531
"ITGA5","AGRN",611
"ITGA5","COL6A1",922
"ITGA5","SNAI1",426
"ITGA5","SNAI2",438
"ITGA5","NCAM1",640
"ITGA5","ITGAE",730
"ITGA5","CD44",785
"ITGA5","CD40LG",471
"ITGA5","BCAR1",750
"ITGA5","CXCR4",596
"ITGA5","THBS1",812
"ITGA5","GP6",402
"ITGA5","SGCA",423
"ITGA5","COL17A1",409
"ITGA5","ITGA8",833
"ITGA5","FLNC",747
"ITGA5","GNB2",562
"ITGA5","LAMB1",788
"ITGA5","ADAM9",414
"ITGA5","ADAMTS13",412
"ITGA5","ANGPTL2",603
"ITGA5","TNN",686
"ITGA5","GIPC1",408
"ITGA5","NT5E",546
"ITGA5","VCL",780
"ITGA5","THBS4",702
"ITGA5","COL4A5",718
"ITGA5","CDKN1A",511
"ITGA5","MET",614
"ITGA5","COL3A1",411
"ITGA5","SCARB2",472
"ITGA5","ITGA6",808
"ITGA5","SHC1",678
"ITGA5","SFRP4",415
"ITGA5","P4HB",402
"ITGA5","ITGBL1",449
"ITGA5","THY1",555
"ITGA5","TGFBI",587
"ITGA5","HSPG2",408
"ITGA5","TIMP4",407
"ITGA5","CD164",631
"ITGA5","MFGE8",503
"ITGA5","ACVRL1",411
"ITGA5","ACTB",801
"ITGA5","ITGA3",961
"ITGA5","COL1A1",944
"ITGA5","CD9",826
"ITGA5","GAPDH",515
"ITGA5","PECAM1",563
"ITGA5","CD81",465
"ITGA5","ICAM1",723
"ITGA5","COL2A1",734
"ITGA5","PXN",713
"ITGA5","VIM",468
"ITGA5","PTK2B",917
"ITGA5","CAV1",425
"ITGA5","ITGA4",970
"ITGA5","CEACAM8",458
"ITGA5","PARVG",703
"ITGA5","ITGA9",765
"ITGA5","DDR2",477
"ITGA5","ITGB5",991
"ITGA5","RUNX2",852
"ITGA5","TIMP2",664
"ITGA5","CCL2",600
"ITGA5","LAMB4",678
"ITGA5","TLR2",415
"ITGA5","COL4A2",803
"ITGA5","TEK",494
"ITGA5","ITGAM",642
"ITGA5","THBS3",827
"ITGA5","NID1",606
"ITGA5","CDH2",712
"ITGA5","CHAD",671
"ITGA5","HIF1A",419
"ITGA5","ALCAM",543
"ITGA5","COL4A4",693
"ITGA5","ADAM15",559
"ITGA5","COMP",710
"ITGA5","ITGA1",947
"ITGA5","ACTN1",965
"ITGA5","GNG10",499
"ITGA5","ILK",973
"ITGA5","RELN",791
"ITGA5","GNG7",521
"ITGA5","CBFB",750
"ITGA5","EPHB4",495
"ITGA5","LAMA3",869
"ITGA5","CCN2",604
"ITGA5","LOXL2",496
"ITGA5","LAMA1",746
"ITGA5","HDAC1",438
"ITGA5","TM4SF1",731
"ITGA5","CSNK1E",419
"ITGA5","FN1",999
"ITGA5","ANGPTL3",513
"ITGA5","TGFB1",571
"ITGA5","PDGFRB",415
"ITGA5","SEMA7A",457
"ITGA5","LAMC3",828
"ITGA5","GNB5",505
"ITGA5","GNG2",559
"ITGA5","L1CAM",833
"ITGA5","FLNA",789
"ITGA5","RXRA",420
"ITGA5","GJA1",581
"ITGA5","COL18A1",825
"ITGA5","PTK2",972
"ITGA5","TLN1",978
"ITGA5","ITGA2B",729
"ITGA5","TLN2",964
"ITGA5","GNB4",519
"ITGA5","GNG12",576
"ITGA5","TNXB",692
"ITGA5","TPTEP2-CSNK1E",405
"ITGA5","IGFBP2",670
"ITGA5","SKAP2",900
"ITGA5","IL6",414
"ITGA5","CDH1",542
"ITGA5","ANXA2",518
"ITGA5","SRC",949
"ITGA5","ARHGAP35",420
"ITGA5","ITGB2",993
"ITGA5","GNGT2",499
"ITGA5","HSPA4",403
"ITGA5","EPHA2",530
"ITGA5","SPP1",868
"ITGA5","VASP",722
"ITGA5","ITGB8",965
"ITGA5","ANPEP",498
"ITGA5","KDR",556
"ITGA5","COL1A2",869
"ITGA5","NRP2",631
"SHANK1","GRIA2",563
"SHANK1","GRIN1",596
"SHANK1","GRIA4",450
"WNT1","MMP9",434
"WNT1","CD44",466
"WNT1","COL1A1",450
"WNT1","FN1",413
"WNT1","WNT7B",653
"WNT1","COL1A2",450
"CELA1","IBSP",501
"CELA1","SERPINA1",971
"LEMD2","TUBA1C",548
"CXCL16","ICAM1",590
"CXCL16","MMP9",494
"CXCL16","TIMP1",468
"CXCL16","CCL2",685
"TNFSF12","CCL2",521
"EIF4A1","TUBA1C",405
"WDR90","TUBA1C",653
"WDR24","ATP6V1G2",499
"CCDC78","COL4A2",403
"SOX8","CD44",406
"GNG3","SNAP25",519
"GNG3","CACNA1A",736
"GNG3","ITGA5",504
"GNG3","GABBR1",681
"GNG3","GRIA2",430
"STX5","SNAP25",906
"STX5","CPLX2",543
"STX5","CPLX1",567
"STX5","SERPINA1",518
"STX5","HMOX1",500
"LRP5","COL1A1",532
"LRP5","HSPG2",602
"LRP5","COL1A2",407
"LRP5","SPP1",453
"LRP5","WNT7B",980
"LRP5","FN1",406
"LRP5","IBSP",432
"FGF19","CD44",548
"PDZK1IP1","FN1",497
"GMEB1","CD44",436
"PDPN","FN1",529
"PDPN","FCGR2A",402
"PDPN","CD44",525
"PDPN","MSN",837
"PDPN","ICAM1",481
"PDPN","TIMP1",498
"LAPTM5","FCGR2A",575
"VCAM1","HRH3",453
"VCAM1","TIMP1",577
"VCAM1","MMP9",748
"VCAM1","PLAU",553
"VCAM1","COL6A2",501
"VCAM1","LUM",421
"VCAM1","COL5A2",486
"VCAM1","SERPINE1",719
"VCAM1","HMOX1",620
"VCAM1","MSR1",417
"VCAM1","COL3A1",458
"VCAM1","ITGA5",828
"VCAM1","THBS1",668
"VCAM1","CD44",994
"VCAM1","EMP1",612
"VCAM1","ICAM1",999
"VCAM1","MSN",982
"VCAM1","COL1A1",441
"VCAM1","FN1",983
"VCAM1","WNT7B",462
"VCAM1","PLAT",756
"VCAM1","SOCS3",576
"VCAM1","BGN",402
"VCAM1","CCL2",907
"VCAM1","SPP1",746
"VCAM1","F3",803
"ARPC5","FCGR2A",452
"NCSTN","HES5",520
"LHCGR","NPPA",909
"LHCGR","ACTA2",426
"CAPN2","PLAU",538
"CAPN2","MSN",562
"REL","MMP9",456
"REL","SOCS3",523
"REL","CCL2",507
"REL","ICAM1",756
"SPRTN","VIM",545
"LRRTM1","GRIK2",587
"LRRTM1","GRIA2",453
"KCNJ3","ABCC8",674
"KCNJ3","NPPA",435
"KCNJ3","CACNA1A",417
"KCNJ3","GABBR1",953
"NEUROD1","CPLX2",584
"NEUROD1","SNAP25",461
"NEUROD1","HES6",509
"NEUROD1","ABCC8",704
"NEUROD1","HES5",598
"NEUROD1","KCNJ11",628
"FRZB","WNT7B",571
"FRZB","THBS1",490
"WDCP","MSN",499
"WDCP","FN1",514
"HPGDS","HMOX1",600
"PDHA2","ALDOC",847
"TMOD4","FLNC",686
"BMP10","NPPA",446
"MERTK","CCL2",470
"MERTK","SOCS3",647
"MERTK","THBS1",406
"MERTK","MSR1",463
"GNPDA2","HK3",932
"GABRG1","GABRD",769
"GABRG1","GRIA2",497
"GABRG1","GABRB3",777
"GABRG1","GABRA3",752
"GABRG1","GABBR1",744
"GABRG1","GRIN1",418
"GABRG1","GRIA4",410
"GABRB1","GABRD",720
"GABRB1","GRIA2",521
"GABRB1","GABRA3",767
"GABRB1","GABRB3",950
"GABRB1","GABBR1",871
"GABRB1","GRIK2",440
"CLDN1","MMP9",487
"CLDN1","FN1",493
"CLDN1","CCL2",417
"CLDN1","ICAM1",436
"CLDN1","VIM",526
"COL6A3","ADAMTS2",487
"COL6A3","COL11A1",826
"COL6A3","OGN",442
"COL6A3","CD44",921
"COL6A3","THBS1",664
"COL6A3","GP6",913
"COL6A3","P3H1",706
"COL6A3","COL17A1",484
"COL6A3","ITGA8",752
"COL6A3","LAMB1",760
"COL6A3","COL4A5",716
"COL6A3","THBS4",581
"COL6A3","ITGA5",870
"COL6A3","COL8A2",681
"COL6A3","SPAG17",461
"COL6A3","DMD",621
"COL6A3","ITGBL1",417
"COL6A3","P4HB",544
"COL6A3","THY1",584
"COL6A3","TGFBI",489
"COL6A3","PCOLCE",654
"COL6A3","COL3A1",952
"COL6A3","ITGA6",725
"COL6A3","COL25A1",454
"COL6A3","HSPG2",625
"COL6A3","PPIB",545
"COL6A3","P4HA3",598
"COL6A3","CATIP",461
"COL6A3","P3H3",524
"COL6A3","ANTXR1",509
"COL6A3","ITGA3",761
"COL6A3","COL1A1",974
"COL6A3","COL14A1",607
"COL6A3","VIM",597
"COL6A3","CD81",422
"COL6A3","COL8A1",585
"COL6A3","COL2A1",773
"COL6A3","ITGA9",733
"COL6A3","FMOD",478
"COL6A3","ITGB5",835
"COL6A3","FBLN2",424
"COL6A3","ITGA4",737
"COL6A3","P4HA1",479
"COL6A3","THBS3",554
"COL6A3","NID1",484
"COL6A3","BGN",806
"COL6A3","CCL2",499
"COL6A3","FGB",438
"COL6A3","COL4A2",792
"COL6A3","ITGA1",819
"COL6A3","ACTN1",581
"COL6A3","SPARC",556
"COL6A3","COL4A4",511
"COL6A3","COL28A1",491
"COL6A3","COL22A1",526
"COL6A3","P3H2",630
"COL6A3","FN1",736
"COL6A3","CCN2",603
"COL6A3","FBLN1",499
"COL6A3","LAMA1",527
"COL6A3","CHRND",552
"COL6A3","PFKL",646
"COL6A3","TAGLN",570
"COL6A3","PPIF",411
"COL6A3","PDGFRB",633
"COL6A3","LOXL1",493
"COL6A3","GATA6",402
"COL6A3","VIL1",528
"COL6A3","ITGA2B",696
"COL6A3","CTHRC1",436
"COL6A3","COLGALT1",558
"COL6A3","COL18A1",539
"COL6A3","PLOD2",654
"COL6A3","PTK2",685
"COL6A3","ADAM12",495
"COL6A3","HDLBP",649
"COL6A3","COL21A1",541
"COL6A3","COL5A3",613
"COL6A3","CHRNG",537
"COL6A3","FKRP",476
"COL6A3","AKT3",481
"COL6A3","SDC4",696
"COL6A3","COL24A1",514
"COL6A3","COL1A2",968
"COL6A3","COL13A1",495
"COL6A3","COL16A1",750
"COL6A3","COL7A1",549
"COL6A3","SPP1",529
"COL6A3","ITGB8",722
"COL6A3","NID2",680
"COL6A3","COL9A1",483
"COL6A3","PLOD3",607
"COL6A3","PDGFB",607
"COL6A3","ITGA10",816
"COL6A3","FBN1",786
"COL6A3","HLA-DRB5",455
"COL6A3","CD248",425
"COL6A3","FSTL1",419
"COL6A3","PLAU",480
"COL6A3","TIMP1",447
"COL6A3","ITGAV",743
"COL6A3","TMSB4X",441
"COL6A3","MMP9",592
"COL6A3","ITGB3",829
"COL6A3","VCAN",671
"COL6A3","PODN",432
"COL6A3","COL26A1",481
"COL6A3","DYSF",418
"COL6A3","ITGA2",781
"COL6A3","EFEMP2",401
"COL6A3","COL9A2",474
"COL6A3","SYNPO2",423
"COL6A3","CRTAP",531
"COL6A3","SELENON",423
"COL6A3","ACTA2",455
"COL6A3","LUM",853
"COL6A3","LAMA5",601
"COL6A3","PDGFA",543
"COL6A3","ZNF654",433
"COL6A3","CCL8",412
"COL6A3","COL6A2",994
"COL6A3","COL15A1",689
"COL6A3","ITGB6",747
"COL6A3","ITGA7",766
"COL6A3","PIERCE1",494
"COL6A3","ITGB1",859
"COL6A3","SDC1",686
"COL6A3","ITGA11",820
"COL6A3","COL27A1",683
"COL6A3","LOX",441
"COL6A3","CALD1",420
"COL6A3","COL23A1",464
"COL6A3","COL11A2",717
"COL6A3","CTNNB1",445
"COL6A3","LAMA2",648
"COL6A3","COL4A3",568
"COL6A3","HLA-DRA",407
"COL6A3","MYMK",449
"COL6A3","COL4A1",809
"COL6A3","COL9A3",492
"COL6A3","P4HA2",527
"COL6A3","COL12A1",788
"COL6A3","LAMA4",587
"COL6A3","ETS2",402
"COL6A3","ITGB4",754
"COL6A3","COL6A6",525
"COL6A3","THBS2",799
"COL6A3","COL4A6",534
"COL6A3","AEBP1",473
"COL6A3","COL5A1",892
"COL6A3","COL5A2",935
"COL6A3","GNG11",436
"COL6A3","COL19A1",523
"COL6A3","TEKT3",461
"COL6A3","SERPINH1",831
"COL6A3","DCN",657
"COL6A3","PLOD1",782
"COL6A3","POSTN",819
"COL6A3","COL20A1",529
"COL6A3","COMMD6",546
"COL6A3","MXRA5",498
"COL6A3","LAMB3",411
"COL6A3","LTBP2",408
"COL6A3","PDGFRA",556
"COL6A3","LAMC1",549
"COL6A3","MMP2",494
"COL6A3","COLGALT2",572
"COL6A3","COL10A1",536
"COL6A3","ITGB7",709
"COL6A3","COL6A1",994
"COL6A3","NCAM1",566
"COL6A3","SNAI2",477
"COL6A3","ASPN",457
"COL6A3","CDH11",537
"CCKAR","CCK",999
"PROK2","CCK",543
"PROK2","MMP9",491
"LRRC58","BGN",451
"LRRC58","LUM",510
"FSTL1","COL4A2",462
"FSTL1","COL5A2",613
"FSTL1","COL5A1",407
"FSTL1","COL6A3",419
"FSTL1","FN1",473
"FSTL1","COL4A1",525
"FSTL1","SPP1",615
"FSTL1","COL1A2",633
"FSTL1","LAMC1",557
"FSTL1","COL3A1",605
"FSTL1","COL6A2",409
"FSTL1","COL1A1",658
"IGFBP7","COL3A1",435
"IGFBP7","VIM",420
"IGFBP7","COL1A1",417
"IGFBP7","FN1",432
"IGFBP7","BGN",419
"IGFBP7","COL4A2",414
"IGFBP7","COL1A2",487
"IGFBP7","TIMP1",443
"IGFBP7","LUM",475
"IGFBP7","ACTA2",445
"IGFBP7","COL4A1",474
"IGFBP7","CCK",444
"IGFBP7","SERPINE1",441
"IGFBP7","IGFBP3",764
"CXCR1","MMP9",605
"CXCR1","FCGR2B",582
"CXCR1","CD44",438
"CXCR1","ICAM1",680
"CXCR1","CCL2",996
"CXCR1","FCGR2A",632
"ARPC2","CD44",456
"ARPC2","FCGR2A",427
"ARPC2","ACTN1",547
"CCT3","LAMC1",415
"CCT3","TUBA1C",721
"PTPRN","SNAP25",436
"PTPRN","ABCC8",441
"IHH","IBSP",518
"IHH","COL1A1",433
"IHH","SPP1",532
"RETNLB","TIMP1",521
"RETNLB","MMP9",602
"RETNLB","ICAM1",507
"RETNLB","SOCS3",505
"RETNLB","SERPINE1",767
"RETNLB","CCL2",719
"SERPINI1","PLAU",635
"SERPINI1","SERPING1",419
"SERPINI1","PLAT",874
"PRKCI","CD44",645
"EFHB","TUBA1C",470
"FABP1","SERPINA1",497
"FABP1","SERPING1",445
"NKX6-1","ABCC8",596
"NKX6-1","KCNJ11",587
"ALB","HMOX1",683
"ALB","IGFBP3",677
"ALB","CCK",733
"ALB","SERPINE1",629
"ALB","LUM",737
"ALB","NPPA",607
"ALB","SERPINA1",998
"ALB","FCGR2B",601
"ALB","PLAU",708
"ALB","TIMP1",737
"ALB","MMP9",745
"ALB","F3",799
"ALB","COL1A2",464
"ALB","SPP1",805
"ALB","FCGR2A",600
"ALB","SNAP25",410
"ALB","SERPING1",791
"ALB","FN1",998
"ALB","SOCS3",415
"ALB","PLAT",634
"ALB","BGN",414
"ALB","CCL2",739
"ALB","MSN",412
"ALB","VIM",509
"ALB","ICAM1",709
"ALB","CFI",467
"ALB","COL1A1",577
"ALB","HSPG2",636
"ALB","ITGA5",417
"ALB","THBS1",463
"ALB","CD44",739
"ATXN7","CACNA1A",964
"PTX3","THBS1",519
"PTX3","GADD45A",440
"PTX3","PLAU",413
"PTX3","TIMP1",493
"PTX3","MMP9",441
"PTX3","ICAM1",446
"PTX3","SERPINE1",547
"PTX3","CCL2",617
"PTX3","IGFBP3",453
"PTX3","C1R",571
"PTX3","F3",478
"PTX3","SPP1",430
"ABHD6","GRIA4",423
"ABHD6","GRIN1",416
"ABHD6","GRIA2",526
"IL17RC","ICAM1",422
"SYN1","CPLX2",572
"SYN1","SNAP25",970
"SYN1","CACNA1A",422
"SYN1","GRIA4",442
"SYN1","CCK",402
"SYN1","GRIN1",667
"SYN1","GRIA2",684
"SYN1","CPLX1",788
"SYN1","TIMP1",532
"PCOLCE2","COL1A2",638
"PCOLCE2","THBS1",457
"PCOLCE2","COL3A1",581
"PCOLCE2","COL1A1",703
